最寄の交通機関,最寄の駅又はバス停,駐輪場名,住所,原動機付自転車の駐車可否
地下鉄東豊線,福住駅,福住駅第1駐輪場,北海道札幌市豊平区月寒東1条13丁目 ,50cc以下は可
地下鉄東豊線,福住駅,福住駅第2駐輪場,北海道札幌市豊平区月寒東1条13丁目,50cc以下は可
地下鉄東豊線,福住駅,福住バスターミナル駐輪場,北海道札幌市豊平区福住2条1丁目,50cc以下は可
中央バス,東苗穂8条3丁目,東苗穂8条3丁目路上駐輪場,北海道札幌市東区東苗穂8条3丁目,125cc以下は可
中央バス,屯田4条3丁目,屯田3条3丁目駐輪場,北海道札幌市北区屯田3条3丁目,125cc以下は可
じょうてつバス,石山陸橋,石山望豊台駐輪場,北海道札幌市南区石山東1丁目,125cc以下は可
中央バス,新川営業所,中央バス新川営業所駐輪場,北海道札幌市北区新川745番地1号,125cc以下は可
ＪＲ函館線,ほしみ駅,ほしみ駅北口駐輪場,北海道札幌市手稲区星置1条9丁目,50cc以下は可
ＪＲ函館線,ほしみ駅,ほしみ駅南口駐輪場,北海道札幌市手稲区星置1条9丁目,50cc以下は可
ＪＲ函館線,星置駅,星置駅北口第1駐輪場,北海道札幌市手稲区星置1条3丁目,50cc以下は可
ＪＲ函館線,星置駅,星置駅北口第2駐輪場,北海道札幌市手稲区星置1条3丁目,50cc以下は可
ＪＲ函館線,星置駅,星置駅北口第3路上駐輪場,北海道札幌市手稲区星置1条3丁目,50cc以下は可
ＪＲ函館線,星置駅,星置駅北口第4路上駐輪場,北海道札幌市手稲区星置1条3丁目,50cc以下は可
ＪＲ函館線,星置駅,星置駅南口第1駐輪場,北海道札幌市手稲区稲穂1条8丁目,50cc以下は可
ＪＲ函館線,星置駅,星置駅南口第2駐輪場,北海道札幌市手稲区稲穂1条8丁目,50cc以下は可
ＪＲ函館線,星置駅,星置駅南口第3駐輪場,北海道札幌市手稲区稲穂1条8丁目,50cc以下は可
ＪＲ函館線,星置駅,星置駅南口第4駐輪場,北海道札幌市手稲区稲穂1条8丁目,50cc以下は可
ＪＲ函館線,稲穂駅,稲穂駅第1駐輪場,北海道札幌市手稲区稲穂1条5丁目,50cc以下は可
ＪＲ函館線,稲穂駅,稲穂駅第2駐輪場,北海道札幌市手稲区曙1条3丁目,50cc以下は可
ＪＲ函館線,稲穂駅,稲穂駅第3駐輪場,北海道札幌市手稲区稲穂1条5丁目,50cc以下は可
ＪＲ函館線,手稲駅,手稲北口駐輪場,北海道札幌市手稲区前田1条11丁目,不可
ＪＲ函館線,手稲駅,手稲駅北口仮設第3駐輪場,北海道札幌市手稲区前田1条11丁目,50cc以下は可
ＪＲ函館線,手稲駅,手稲駅北口第3駐輪場,北海道札幌市手稲区前田1条12丁目,不可
ＪＲ函館線,手稲駅,曙1条1丁目駐輪場,北海道札幌市手稲区曙1条1丁目,125cc以下は可
ＪＲ函館線,手稲駅,手稲駅北口第4駐輪場,北海道札幌市手稲区前田1条11丁目,50cc以下は可
ＪＲ函館線,手稲駅,手稲駅南口駐輪場,北海道札幌市手稲区手稲本町1条4丁目,50cc以下は可
ＪＲ函館線,稲積公園駅,稲積公園駅第1駐輪場,北海道札幌市手稲区前田1条5丁目,125cc以下は可
ＪＲ函館線,稲積公園駅,稲積公園駅路上駐輪場,北海道札幌市手稲区富丘1条4丁目,125cc以下は可
ＪＲ函館線,稲積公園駅,稲積公園駅第2駐輪場,北海道札幌市手稲区前田1条5丁目,125cc以下は可
ＪＲ函館線,稲積公園駅,稲積公園駅第3駐輪場,北海道札幌市手稲区富丘1条4丁目,125cc以下は可
ＪＲ函館線,稲積公園駅,稲積公園駅北駐輪場,北海道札幌市手稲区前田1条5丁目,50cc以下は可
ＪＲ函館線,稲積公園駅,稲積公園駅南駐輪場,北海道札幌市手稲区富丘1条4丁目,125cc以下は可
ＪＲ函館線,発寒駅,発寒駅北口第1駐輪場,北海道札幌市西区発寒10条13丁目,50cc以下は可
ＪＲ函館線,発寒駅,発寒駅北口第2駐輪場,北海道札幌市西区発寒10条13丁目,50cc以下は可
ＪＲ函館線,発寒駅,発寒駅北口第3駐輪場,北海道札幌市西区発寒10条13丁目,50cc以下は可
ＪＲ函館線,発寒駅,発寒駅南口駐輪場,北海道札幌市西区発寒9条13丁目,50cc以下は可
ＪＲ函館線,発寒中央駅,発寒中央駅第1駐輪場,北海道札幌市西区発寒10条3丁目,125cc以下は可
ＪＲ函館線,発寒中央駅,発寒中央駅第2駐輪場,北海道札幌市西区発寒10条3丁目,125cc以下は可
ＪＲ函館線,発寒中央駅,発寒中央駅第3駐輪場,北海道札幌市西区発寒10条3丁目,50cc以下は可
ＪＲ函館線,発寒中央駅,発寒中央駅第4駐輪場,北海道札幌市西区発寒10条4丁目,125cc以下は可
ＪＲ函館線,琴似駅,琴似駅第1駐輪場,北海道札幌市西区八軒1条西2丁目,125cc以下は可
ＪＲ函館線,琴似駅,琴似駅第2駐輪場,北海道札幌市西区琴似2条1丁目,50cc以下は可
ＪＲ函館線,琴似駅,琴似駅第3駐輪場,北海道札幌市西区琴似2条1丁目,50cc以下は可
ＪＲ函館線,琴似駅,琴似駅第4駐輪場,北海道札幌市西区八軒1条西1丁目,50cc以下は可
